,Date,Open,High,Low,Close,Volume,OpenInt,Product
9729,2015-11-30,231.79,234.28,229.08,230.26,2659800,1,Merchandising
9730,2015-12-01,231.06,238.0,231.05,237.19,3733955,1,Electric Car
9731,2015-12-02,237.0,238.6,231.23,231.99,2980768,0,Electric Car
9732,2015-12-03,235.48,237.45,230.0,232.71,2939533,1,House-Powering Battery
9733,2015-12-04,232.46,233.27,227.66,230.38,2573600,0,Merchandising
9734,2015-12-07,227.7,235.63,226.15,231.13,3144200,0,House-Powering Battery
9735,2015-12-08,227.52,228.8,224.2,226.72,2687636,0,Electric Car
9736,2015-12-09,226.7,227.5,220.72,224.52,3057700,1,Merchandising
9737,2015-12-10,224.71,228.49,223.64,227.07,2071600,0,Merchandising
9738,2015-12-11,225.24,225.75,216.64,217.02,3268700,1,House-Powering Battery
9739,2015-12-14,217.51,220.92,214.87,218.58,2830798,0,Electric Car
9740,2015-12-15,221.82,222.22,218.0,221.09,2244400,1,House-Powering Battery
9741,2015-12-16,222.1,234.88,220.73,234.51,5104300,1,Electric Car
9742,2015-12-17,233.94,237.76,229.81,233.39,3298600,0,Merchandising
9743,2015-12-18,232.89,235.9,229.29,230.46,3014100,1,Merchandising
9744,2015-12-21,231.69,235.83,231.08,232.56,1953100,0,House-Powering Battery
9745,2015-12-22,234.99,236.55,229.63,229.95,1961155,1,Electric Car
9746,2015-12-23,232.18,233.45,228.13,229.7,1554900,1,House-Powering Battery
9747,2015-12-24,230.56,231.88,228.28,230.57,710277,1,Merchandising
9748,2015-12-28,231.49,231.98,225.54,228.95,1901304,1,House-Powering Battery
9749,2015-12-29,230.06,237.72,229.55,237.19,2406290,0,Merchandising
9750,2015-12-30,236.6,243634,235671,238.09,3124074,0,Merchandising
9751,2015-12-31,238.51,243.45,238.37,240.01,2503103,0,Electric Car
9752,2016-01-04,230.72,231.38,219.0,223.41,6124482,0,Merchandising
9753,2016-01-05,226.36,232.3,220.0,223.43,3086425,1,Merchandising
9754,2016-01-06,220.0,220.05,215.98,219.04,3492811,0,Merchandising
9755,2016-01-07,214.19,218.44,213.67,215.65,3410786,0,Merchandising
9756,2016-01-08,217.86,220.44,210.77,211.0,3504461,1,Merchandising
